song_id,artist,track,genre,sub_artist_genre
1,2 Chainz+Gucci Mane+Quavo,Good Drank (Explicit),hip-hop/rap,
4,21 Savage+Metro Boomin+Future,X Bitch (feat. Future),hip-hop/rap,
5,21 Savage+Metro Boomin,No Heart,hip-hop/rap,
6,21 Savage,Red Opps (Explicit),hip-hop/rap,
7,5 Seconds Of Summer,Girls Talk Boys,pop,
8,6LACK,PRBLMS,hip-hop/rap,
9,A Boogie Wit Da Hoodie+Dj SpinKing,Timeless (Explicit),hip-hop/rap,
10,A Boogie Wit Da Hoodie+Kodak Black,Drowning (Explicit),hip-hop/rap,
12,A Tribe Called Quest,We The People....,hip-hop/rap,
13,AJR,Weak,rock,pop
14,Adam Wakefield,I'm Sorry (Live),country,pop
15,Adam Wakefield,Lonesome Broken and Blue (Live),country,pop
16,Adam Wakefield,When I Call Your Name (Live),country,pop
17,Adele,Hello,pop,soul/rnb
18,Adele,Send My Love (To Your New Lover),pop,soul/rnb
19,Adele,Water Under The Bridge,pop,soul/rnb
20,Al Jarreau,We're In This Love Together,rock,jazz
21,Alan Walker+Iselin Solheim,Faded,electronic,
23,Alessia Cara,How Far I'll Go(Alessia Cara Version),pop,
25,Alessia Cara,Scars To Your Beautiful,pop,
26,Alessia Cara,Wild Things (NuKid Remix),pop,
28,Alex Da Kid,Not Easy,soul/rnb,pop
29,Alisan Porter,Down That Road (Live),country,pop
30,Alisan Porter,Somewhere (Live),country,pop
31,Aminé,Caroline (Explicit),hip-hop/rap,
32,Andra Day,Rise Up,soul/rnb,
33,Andy Grammer,Fresh Eyes,pop,
34,Andy Williams,It's the Most Wonderful Time of the Year,pop,
35,Anna Kendrick+Justin Timberlake,True Colors,pop,
37,Anne-Marie,Marie-Alarm,pop,
38,Anne-Marie,Marie-Ciao Adios,pop,
39,Ansel Elgort,Thief,pop,
40,Ariana Grande+John Legend,Beauty and the Beast,pop,
42,Ariana Grande,Dangerous Woman,pop,
43,Ariana Grande,One Last Time,pop,
44,Artists Of Then+Now & Forever,Forever Country,country,
46,Ayo & Teo,Rolex,hip-hop/rap,
47,Baby Bash,Suga Suga (Album Version),hip-hop/rap,pop
48,Band Aid,Do They Know It's Christmas?,pop,
49,Bastille,Good Grief,rock,pop
50,Beastie Boys,Fight For Your Right,hip-hop/rap,
51,Bebe Rexha,I Got You,pop,
52,Belly+The Weeknd,Might Not,hip-hop/rap,
54,Ben Rector,Brand New,pop,rock
55,Big Sean+Eminem,No Favors,hip-hop/rap,
56,Big Sean,Blessings (Explicit),hip-hop/rap,
57,Big Sean,Bounce Back,hip-hop/rap,
58,Big Sean,Halfway Off the Balcony,hip-hop/rap,
59,Big Sean,Jump Out the Window,hip-hop/rap,
60,Big Sean,Light,hip-hop/rap,
61,Big Sean,Moves,hip-hop/rap,
63,Big Sean,Owe Me,hip-hop/rap,
65,Billboard Masters ,Sweatshirt - Tribute to Jacob Sartorius,pop,
66,Billy Currington,It Don't Hurt Like It Used To,country,
67,Bishop Briggs,River,rock,pop
68,Blackbear,Do Re mi (Explicit),pop,
69,Blake Shelton,A Guy With a Girl,country,
70,Blake Shelton,Came Here to Forget,country,
71,Blake Shelton,Every Time I Hear That Song,country,
72,Blake Shelton,Go Ahead and Break My Heart,country,
73,Blake Shelton,She's Got a Way With Words,country,
74,Blink-182,182-Bored To Death,pop,rock
75,Blink-182,182-Rabbit Hole,pop,rock
76,Bob Marley+The Wailers+LVNDSCAPE+Leon Bolier,Is This Love (Extended Mix),reggae,electronic
78,Bobby Helms,Jingle Bell Rock,country,
79,Bon Jovi,Livin' On A Prayer,rock,
80,Brad Paisley+Demi Lovato,Without a Fight,country,pop
81,Brad Paisley,Today,country,
83,Brantley Gilbert,The Weekend,country,
84,Brenda Lee,Rockin' Around The Christmas Tree (Re-Recorded Version),pop,"rock,jazz"
86,Brett Eldredge,Somethin' I'm Good At,country,rock
87,Brett Eldredge,Wanna Be That Song,country,rock
88,Brett Young,In Case You Didn't Know,country,
89,Brett Young,Sleep Without You,country,
90,Britney Spears+G-Eazy,Eazy-Make Me...,pop,
91,Britney Spears+Tinashe,Slumber Party (Explicit),pop,
92,Britney Spears,Make Me...,pop,
93,Broadway for Orlando,What the World Needs Now Is Love,pop,
94,Brooklyn and Bailey,Dance Like Me,pop,
96,Bruno Mars,24K Magic,pop,
97,Bruno Mars,Perm,pop,
98,Bruno Mars,That's What I Like,pop,
99,Bruno Mars,Versace On The Floor,pop,
100,Bryson Tiller,Don't (Explicit),hip-hop/rap,"pop,soul/rnb"
102,Burl Ives,A Holly Jolly Christmas,folk,
103,CL,LIFTED,pop,
104,Calum Scott,Dancing On My Own (Ben Dooks Remix),pop,
105,Calum Scott,Dancing on My Own,pop,
106,Calvin Harris+Frank Ocean+Migos,Slide,pop,electronic
107,Calvin Harris+Future+Khalid,Rollin,pop,electronic
108,Calvin Harris+Rihanna,This Is What You Came For,pop,electronic
109,Calvin Harris+Young Thug+Pharrell Williams+Ariana Grande,Heatstroke,pop,electronic
113,Camila Cabello,Crying In The Club,pop,
114,Camila Cabello,I Have Questions,pop,
115,Carlos Vives+Shakira,La Bicicleta,pop,latin
116,Carrie Underwood,Church Bells,country,pop
117,Carrie Underwood,Dirty Laundry,country,pop
119,Céline Dion,How Does A Moment Last Forever,pop,
120,Chance The Rapper+Lil Wayne+2 Chainz,No Problem,hip-hop/rap,
123,Charles Kelley,The Only One Who Gets Me,country,pop
124,Charli XCX+Lil Yachty,After The Afterparty,pop,electronic
126,Charlie Puth+Selena Gomez,We Don't Talk Anymore,pop,
127,Charlie Puth,Attention,pop,
128,Charlie Puth,One Call Away (Acoustic),pop,
132,Chase Rice,Everybody We Know Does,country,
133,Cheat Codes+Demi Lovato,No Promises,pop,electronic
134,Cheat Codes,Let Me Hold You (Turn Me On),pop,electronic
135,Childish Gambino,Me and your Mama,hip-hop/rap,
136,Childish Gambino,Redbone (Explicit),hip-hop/rap,
137,Chris Blue,Money On You (Live),soul/rnb,pop
138,Chris Blue,Take Me To the King (Live),soul/rnb,pop
139,Chris Brown+Gucci Mane+Usher,Party (Explicit),pop,"soul/rnb,hip-hop/rap"
140,Chris Brown,Back To Sleep,pop,"soul/rnb,hip-hop/rap"
141,Chris Brown,Grass Ain't Greener,pop,"soul/rnb,hip-hop/rap"
142,Chris Brown,Privacy (Explicit),pop,"soul/rnb,hip-hop/rap"
143,Chris Janson,Holdin' Her,country,
144,Chris Lane,Fix,country,
145,Chris Lane,For Her,country,
146,Chris Rea,Driving Home For Christmas (2003),blues,rock
147,Chris Stapleton,Broken Halos,country,
148,Chris Stapleton,Either Way,country,
149,Chris Stapleton,Fire Away,country,
150,Chris Stapleton,Parachute,country,
151,Chris Stapleton,Tennessee Whiskey,country,
152,Chris Young+Cassadee Pope,Think of You,country,
153,Chris Young+Vince Gill,Sober Saturday Night,country,
156,Christina Aguilera,Change,pop,
157,Christine and the Queens,Tilted,pop,
158,Chuck Berry,Johnny B. Goode,rock,"soul/rnb,blues"
159,Clean Bandit+Louisa Johnson,Tears,pop,electronic
160,Clean Bandit+Sean Paul+Anne-Marie,Marie-Rockabye,pop,electronic
161,Clean Bandit+Zara Larsson,Symphony,pop,electronic
162,Clean Bandit,Rockabye,pop,electronic
165,Coldplay,Hymn For The Weekend,pop,
166,Coldplay,Hypnotised,pop,
167,Cole Swindell+Dierks Bentley,Flatliner,country,
168,Cole Swindell,Middle of a Memory,country,
169,Cole Swindell,You Should Be Here,country,
170,Corinne Bailey Rae,The Scientist,soul/rnb,
171,Craig David,Ain't Giving Up,soul/rnb,"pop,electronic"
172,D.R.A.M.+Lil Yachty,BROCCOLI,hip-hop/rap,
174,DJ Drama+Chris Brown+Skeme+Lyquin,Wishing,hip-hop/rap,
175,DJ Esco+Future+Lil Uzi Vert,Too Much Sauce,hip-hop/rap,
176,DJ Khaled+Beyoncé+Jay-Z,Z-Shining (Explicit),hip-hop/rap,pop
177,DJ Khaled+Drake,For Free (Explicit),hip-hop/rap,pop
179,DJ Khaled+Jay-Z+Future,Z,hip-hop/rap,pop
180,DJ Khaled+Justin Bieber+Quavo+Chance The Rapper,I'm the One (Explicit),hip-hop/rap,pop
181,DJ Khaled+Nicki Minaj+Chris Brown+August Alsina,Do You Mind (Explicit),hip-hop/rap,pop
184,DJ Khaled,Holy Key (Explicit),hip-hop/rap,pop
185,DJ Khaled,I Got the Keys (Explicit),hip-hop/rap,pop
186,DJ Khaled,Shining (Explicit),hip-hop/rap,pop
187,DJ Luke Nasty+2 Chainz,OTW (Remix),hip-hop/rap,
188,DJ Slim K,Key to the Streets (Chopped Not Slopped),hip-hop/rap,
189,DJ Snake+Bipolar Sunshine,Middle (4B Remix),electronic,hip-hop/rap
191,DJ Snake+Justin Bieber,Let Me Love You,electronic,hip-hop/rap
192,DJ Snake+Lil Jon,Turn Down for What,electronic,hip-hop/rap
196,DJ Suede The Remix God,Cash Me Outside (#CashmeOutside),hip-hop/rap,
197,DNCE,Cake By The Ocean,pop,
198,DNCE,Toothbrush,pop,
199,Daddy Yankee,Shaky Shaky,reggae,"hip-hop/rap,latin"
200,Dae Dae,Wat U Mean (Aye,hip-hop/rap,hip-hop/rap
201,Dan   Shay,From the Ground Up,country,
202,Dan   Shay,How Not To,country,
203,Dan   Shay,When I Pray For You,country,
204,Dan Stevens,Evermore,pop,
207,David Guetta+Sia,Titanium,electronic,pop
209,David Nail,Night's On Fire,country,
210,Daya,Hide Away,pop,electronic
211,Daya,Sit Still,pop,electronic
212,Demi Lovato,Body Say,pop,
213,Desiigner,Panda (#PANDATO Version),hip-hop/rap,
215,Desiigner,Tiimmy Turner,hip-hop/rap,
216,Dierks Bentley+Elle King,Different for Girls,country,
217,Dierks Bentley,Black,country,
219,Dierks Bentley,Drunk On A Plane,country,
220,Dierks Bentley,Somewhere on a Beach,country,
221,Disciples,On My Mind,electronic,pop
222,Disturbed,The Sound Of Silence,hip-hop/rap,rock
224,Drake+21 Savage,Sneakin' (Explicit),hip-hop/rap,
225,Drake+Black Coffee+Jorja Smith,Get It Together,hip-hop/rap,
227,Drake+Future,Jumpman,hip-hop/rap,
228,Drake+Giggs,KMT,hip-hop/rap,
229,Drake+Giggs,No Long Talk,hip-hop/rap,
230,Drake+Kanye West,Glow,hip-hop/rap,
231,Drake+PARTYNEXTDOOR,With You (Explicit),hip-hop/rap,
232,Drake+Pimp C+dvsn,Faithful (Explicit),hip-hop/rap,
233,Drake+Popcaan,Controlla,hip-hop/rap,
234,Drake+Quavo+Travis Scott,Portland,hip-hop/rap,
235,Drake+Rihanna,Too Good (Explicit),hip-hop/rap,
236,Drake+Sampha,4422,hip-hop/rap,
237,Drake+The Throne,Pop Style,hip-hop/rap,
238,Drake+WizKid+Kyla,One Dance,hip-hop/rap,
239,Drake+Young Thug,Ice Melts,hip-hop/rap,
241,Drake,9 (Explicit),hip-hop/rap,
242,Drake,Blem,hip-hop/rap,
244,Drake,Childs Play (Explicit),hip-hop/rap,
249,Drake,Fake Love (Clean),hip-hop/rap,
251,Drake,Feel No Ways (Explicit),hip-hop/rap,
252,Drake,Fire & Desire (Explicit),hip-hop/rap,
253,Drake,Free Smoke,hip-hop/rap,
257,Drake,Gyalchester,hip-hop/rap,
258,Drake,Hype (Explicit),hip-hop/rap,
260,Drake,Jorja Interlude,hip-hop/rap,
263,Drake,Keep The Family Close (Explicit),hip-hop/rap,
265,Drake,Madiba Riddim,hip-hop/rap,
267,Drake,Nothings Into Somethings,hip-hop/rap,
269,Drake,Passionfruit,hip-hop/rap,
273,Drake,Redemption (Explicit),hip-hop/rap,
275,Drake,Since Way Back,hip-hop/rap,
276,Drake,Skepta Interlude,hip-hop/rap,
277,Drake,Sneakin’,hip-hop/rap,
279,Drake,Summer Sixteen (Clean),hip-hop/rap,
280,Drake,Teenage Fever,hip-hop/rap,
282,Drake,Two Birds,hip-hop/rap,
283,Drake,U With Me? (Explicit),hip-hop/rap,
284,Drake,Views (Explicit),hip-hop/rap,
285,Drake,Weston Road Flows (Explicit),hip-hop/rap,
287,Dreezy+Jeremih,Body (Clean),hip-hop/rap,pop
292,Dua Lipa,Blow Your Mind (Mwah) (Explicit),pop,
293,Dustin Lynch,Mind Reader,country,
294,Dustin Lynch,Seein' Red,country,
295,Dustin Lynch,Small Town Boy,country,
296,Dwayne Johnson,You're Welcome,pop,hip-hop/rap
297,Dylan Scott,My Girl,country,
298,Ed Sheeran,Castle on the Hill,pop,
299,Ed Sheeran,How Would You Feel (Paean),pop,
300,Ed Sheeran,Photograph,pop,
301,Ed Sheeran,Shape of You,pop,
302,Ed Sheeran,Thinking Out Loud (Campfire Version),pop,
303,Electric Light Orchestra,Mr. Blue Sky (Album Version),rock,
304,Elle King,America's Sweetheart,pop,rock
305,Ellie Goulding,Still Falling For You,pop,electronic
306,Elton John,Step Into Christmas,pop,rock
307,Emeli Sandé,Hurts,pop,soul/rnb
308,Eminem+Rihanna,Love The Way You Lie,hip-hop/rap,
309,Eminem,Infinite,hip-hop/rap,
310,Emma Watson,Something There,pop,
312,Enrique Iglesias+Wisin,DUELE EL CORAZON,pop,latin
313,Eric Church,Kill a Word,country,
314,Eric Church,Record Year,country,
315,Evanescence,Bring Me To Life,rock,
316,Ewan McGregor+Emma Thompson+Gugu Mbatha-Raw+Ian McKellen,Raw,pop,
317,Ewan McGregor,Be Our Guest,pop,
318,FRENSHIP+Emily Warren,Capsize,pop,electronic
319,Faith Hill,Keep Your Eyes On Me,country,
321,Fat Joe+Remy Ma+French Montana,All the Way Up (Explicit),hip-hop/rap,
323,Fergie,Life Goes On,pop,
324,Fergie,M.I.L.F. $,pop,
325,Fetty Wap,Wake Up,hip-hop/rap,pop
326,Fifth Harmony+Fetty Wap,All In My Head (Flex),pop,
327,Fifth Harmony+Ty Dolla $ign,Work From Home,pop,
329,Fifth Harmony,That's My Girl,pop,
331,Fitz & The Tantrums,HandClap,pop,
332,Fleetwood Mac,The Chain,rock,
333,Flo Rida+99 Percent,Cake,hip-hop/rap,"pop,electronic"
334,Flo Rida,My House (Live at New Year's Rockin' Eve 2017),hip-hop/rap,"pop,electronic"
336,Florida Georgia Line+Backstreet Boys,God,country,pop
337,Florida Georgia Line+Tim Mcgraw,May We All,country,pop
338,Florida Georgia Line,Confession,country,pop
339,Florida Georgia Line,H.O.L.Y,country,pop
341,Florida Georgia Line,Smooth,country,pop
342,Flume+Kai,Never Be Like You,electronic,pop
343,Flume+Tove Lo,Say It,electronic,pop
347,Frank Ocean,Chanel (Explicit),hip-hop/rap,"soul/rnb,pop"
348,Frank Ocean,Ivy (Explicit),hip-hop/rap,"soul/rnb,pop"
349,Frank Ocean,Nights (Explicit),hip-hop/rap,"soul/rnb,pop"
350,Frank Ocean,Nikes (Explicit),hip-hop/rap,"soul/rnb,pop"
351,Frank Ocean,Pink + White,hip-hop/rap,"soul/rnb,pop"
353,Frankie Ballard,It All Started with a Beer,country,
354,French Montana+Drake,No Shopping,hip-hop/rap,
355,French Montana+Kodak Black,Lockjaw (Explicit),hip-hop/rap,
356,French Montana+Swae Lee,Unforgettable,hip-hop/rap,
358,Future Pigeon,Wicked Version,electronic,rock
360,Future+Rihanna,Selfish (Explicit),hip-hop/rap,pop
361,Future+The Weeknd,Comin Out Strong (Explicit),hip-hop/rap,pop
362,Future+The Weeknd,Low Life (Explicit),hip-hop/rap,pop
364,Future,Draco (Explicit),hip-hop/rap,pop
366,Future,Mask Off (Explicit),hip-hop/rap,pop
367,Future,New Level,hip-hop/rap,pop
368,Future,Rent Money (Explicit),hip-hop/rap,pop
370,Future,Super Trapper (Explicit),hip-hop/rap,pop
372,Future,Zoom (Explicit),hip-hop/rap,pop
373,G-Eazy+Bebe Rexha,Eazy,pop,hip-hop/rap
375,G-Eazy+Kehlani,Eazy,pop,hip-hop/rap
376,G-Eazy+Marc E. Bassy,Eazy,pop,hip-hop/rap
379,Galantis+Hook N Sling,Love On Me,electronic,pop
381,Galantis,No Money,electronic,pop
382,Gavin DeGraw,She Sets The City On Fire,pop,rock
383,George Michael,Careless Whisper (Album Version),pop,rock
385,George Michael,Freedom! '90 (Remaster),pop,rock
386,Ghost Town DJ's,My Boo,hip-hop/rap,
388,Gnash+Johnny Yukon,home,pop,
389,Gnash+Olivia O'Brien,i hate u,pop,
391,Godsmack,Come Together,rock,
393,Gorillaz+Popcaan,Saturnz Barz,pop,"hip-hop/rap,rock"
394,Grace+G-Eazy,Eazy-You Don't Own Me,soul/rnb,
395,Grace,You Don't Own Me,soul/rnb,
396,Granger Smith,If the Boot Fits,country,
397,Gucci Mane+Drake,Both,hip-hop/rap,pop
398,Gucci Mane+Kanye West,P**** Print (Explicit),hip-hop/rap,pop
399,Gucci Mane,Back On Road (Explicit),hip-hop/rap,pop
401,Gucci Mane,Make Love,hip-hop/rap,pop
402,Gwen Stefani,Hollaback Girl,pop,
403,HAIM,Want You Back,pop,rock
405,Hailee Steinfeld,Most Girls,pop,electronic
407,Halsey,Eyes Closed,pop,electronic
408,Halsey,Not Afraid Anymore,pop,electronic
409,Halsey,Not Afraid Anymore的副本,pop,electronic
410,Halsey,Now Or Never,pop,electronic
411,Hannah Huston,Every Breath You Take (Live),soul/rnb,
412,Hannah Huston,I Call the Shots (Live),soul/rnb,
413,Harry Styles,Sign of the Times,pop,
414,Harry Styles,Sweet Creature,pop,
415,Hey Violet,Guys My Age (Stripped) (Explicit),pop,electronic
417,High Valley,Make You Mine,country,
418,Hillsong Worship,What a Beautiful Name (Acoustic),pop,"folk,rock"
419,Hunter Plake,Higher Love (Live),pop,
420,Iggy Azalea,Mo Bounce (Explicit),hip-hop/rap,pop
421,Iggy Azalea,Team (Young Bombs Remix),hip-hop/rap,pop
423,Imagine Dragons,Believer,rock,
424,Imagine Dragons,Not Today,rock,
425,Imagine Dragons,Radioactive,rock,
426,Imagine Dragons,Thunder,rock,
427,Imagine Dragons,Whatever It Takes,rock,
428,J Hus,Did You See,hip-hop/rap,
429,J. Cole,4 Your Eyez Only,hip-hop/rap,
431,J. Cole,Deja Vu,hip-hop/rap,
432,J. Cole,False Prophets (Explicit),hip-hop/rap,
433,J. Cole,Foldin Clothes,hip-hop/rap,
434,J. Cole,For Whom the Bell Tolls,hip-hop/rap,
435,J. Cole,Immortal,hip-hop/rap,
436,J. Cole,Neighbors,hip-hop/rap,
437,J. Cole,She's Mine,hip-hop/rap,
438,J. Cole,She's Mine,hip-hop/rap,
439,J. Cole,Ville Mentality,hip-hop/rap,
440,J. Cole,everybody dies,hip-hop/rap,
441,JP Cooper,September Song,pop,electronic
442,Jacob Sartorius,Hit or Miss,pop,
443,Jake Owen,American Country Love Song,country,
444,Jake Owen,If He Ain't Gonna Love You,country,
445,James Arthur,Safe Inside,pop,
446,James Arthur,Say You Won't Let Go,pop,
447,James Bay,Let It Go,pop,
448,Jason Aldean,A Little More Summertime,country,
449,Jason Aldean,Any Ol' Barstool,country,
450,Jason Aldean,Lights Come On,country,
451,Jason Derulo,If It Ain't Love,pop,
452,Jax Jones+Raye,You Don't Know Me,electronic,pop
454,Jennifer Lopez+Lin-Manuel Miranda,Manuel Miranda-Love Make the World Go Round,pop,
455,Jennifer Lopez,Ain't Your Mama,pop,
456,Jennifer Nettles,Unlove You,country,
457,Jeremih,Oui,hip-hop/rap,"soul/rnb,pop"
458,Jesse Larson,Woman (Live),country,
460,John Legend,Love Me Now,soul/rnb,pop
461,John Mayer,Changing,pop,rock
462,John Mayer,Love On The Weekend,pop,rock
463,John Mayer,Moving On and Getting Over,pop,rock
465,Johnny Cash,Ain't No Grave (Album Version),country,
466,Jon Bellion,All Time Low (Explicit),pop,rock
468,Jon Pardi,Dirt On My Boots,country,
469,Jon Pardi,Head Over Boots,country,
470,Jonas Blue+JP Cooper,Perfect Strangers,electronic,pop
471,Jonas Blue+Raye,By Your Side,electronic,pop
472,Jonas Blue+William Singe,Mama,electronic,pop
476,Jose Feliciano,Feliz Navidad,latin,pop
477,Josh Ritter,Homecoming,folk,"pop,rock"
478,Josh Turner,Hometown Girl,country,
479,Joy Villa,Get Your Freedom,soul/rnb,
480,Joy Villa,I Make the Static,soul/rnb,
481,Joy Villa,The Darkness,soul/rnb,
482,Joy Villa,Vagabonds,soul/rnb,
483,Juicy J,Ain't Nothing (Explicit),hip-hop/rap,
484,Julia Michaels,Issues,pop,
485,Justin Bieber,Company,pop,
486,Justin Bieber,Love Yourself,pop,
487,Justin Bieber,Sorry,pop,
488,Justin Moore,You Look Like I Need A Drink,country,
489,Justin Timberlake,CAN'T STOP THE FEELING!,pop,
490,KLOE,Liability,pop,
491,Kaleo,Way Down We Go,rock,
492,Kane Brown+Lauren Alaina,What Ifs,country,
493,Kane Brown,Ain't No Stopping Us Now,country,
494,Kanye West+Gucci Mane+Big Sean+2 Chainz,Champions,hip-hop/rap,
495,Kanye West+Rihanna,Famous,hip-hop/rap,
